ID,Date,Day,"High Temp","Low Temp",Precipitation,"Brooklyn Bridge","Manhattan Bridge","Williamsburg Bridge","Queensboro Bridge",Total,ID,Date,Day,"High Temp","Low Temp",Precipitation,"Brooklyn Bridge","Manhattan Bridge","Williamsburg Bridge","Queensboro Bridge",Total
42,"2016-04-13 00:00:00","2016-04-13 00:00:00",57,39.9,0,2840,5395,5995,4192,18422,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
43,"2016-04-14 00:00:00","2016-04-14 00:00:00",62.1,44.6,0,2861,5309,6030,4115,18315,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
44,"2016-04-15 00:00:00","2016-04-15 00:00:00",64,44.1,0,2770,5072,5816,3912,17570,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
45,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
46,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
47,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
48,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
49,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
50,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
51,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
52,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
53,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
54,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
55,"2016-04-26 00:00:00","2016-04-26 00:00:00",60.1,46.9,0.24,1997,3520,4559,2929,13005,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
56,"2016-04-27 00:00:00","2016-04-27 00:00:00",62.1,46.9,0,3343,5606,6577,4388,19914,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
57,"2016-04-28 00:00:00","2016-04-28 00:00:00",57.9,48,0,2486,4152,5336,3657,15631,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
58,"2016-04-29 00:00:00","2016-04-29 00:00:00",57,46.9,0.05,2375,4178,5053,3348,14954,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
59,"2016-04-30 00:00:00","2016-04-30 00:00:00",64,48,0,3199,4952,5675,3606,17432,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
66,"2016-04-07 00:00:00","2016-04-07 00:00:00",57,53.1,0.09,1276,2581,3282,2457,9596,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
70,"2016-04-11 00:00:00","2016-04-11 00:00:00",62.1,46,0.01,2005,3791,4334,3182,13312,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
71,"2016-04-12 00:00:00","2016-04-12 00:00:00",57,45,0.2,1045,2178,2762,2082,8067,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
72,"2016-04-13 00:00:00","2016-04-13 00:00:00",57,39.9,0,2840,5395,5995,4192,18422,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
73,"2016-04-14 00:00:00","2016-04-14 00:00:00",62.1,44.6,0,2861,5309,6030,4115,18315,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
74,"2016-04-15 00:00:00","2016-04-15 00:00:00",64,44.1,0,2770,5072,5816,3912,17570,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
75,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
76,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
77,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
78,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
79,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
80,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
81,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
82,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
83,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
84,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
